ContactsContactID,VanID,ResultID,CanvassedBy,CommitteeID,CreatedBy,DateCreated,DateCanvassed,InputTypeID,ContactTypeID,ChangeTypeId,ErrorMessage
1880365,101484693,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:02:00 PM,14,2,1,
1880366,101485857,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:19:00 PM,14,2,1,
1880367,101548431,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:12:00 PM,14,2,1,
1880368,101548503,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:23:00 PM,14,2,1,
1880369,101548513,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:42:00 PM,14,2,1,
1880370,101548687,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:50:00 PM,14,2,1,
1880371,101548699,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:50:00 PM,14,2,1,
1880372,101548841,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:45:00 PM,14,2,1,
1880373,101548898,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:02:00 PM,14,2,1,
1880374,101548958,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:52:00 PM,14,2,1,
1880375,101549002,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:03:00 PM,14,2,1,
1880376,101549069,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:52:00 PM,14,2,1,
1880377,101549075,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:35:00 PM,14,2,1,
1880378,101549104,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:34:00 PM,14,2,1,
1880379,101549141,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:21:00 PM,14,2,1,
1880380,101549152,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:23:00 PM,14,2,1,
1880381,101549161,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:39:00 PM,14,2,1,
1880382,101549197,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:15:00 PM,14,2,1,
1880383,101549255,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:10:00 PM,14,2,1,
1880384,101549417,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:28:00 PM,14,2,1,
1880385,101551940,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:18:00 PM,14,2,1,
1880386,101552113,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 6:58:00 PM,14,2,1,
1880387,101552161,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:13:00 PM,14,2,1,
1880388,101552164,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:32:00 PM,14,2,1,
1880389,101552223,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:20:00 PM,14,2,1,
1880390,101552246,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:13:00 PM,14,2,1,
1880391,101552373,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 6:52:00 PM,14,2,1,
1880392,101552374,14,2194773,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 6:41:00 PM,14,2,1,
1880393,101552500,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:06:00 PM,14,2,1,
1880394,101552510,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:52:00 PM,14,2,1,
1880395,101552547,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:02:00 PM,14,2,1,
1880396,101552573,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:37:00 PM,14,2,1,
1880397,101552574,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:11:00 PM,14,2,1,
1880398,101552604,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:10:00 PM,14,2,1,
1880399,101552643,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:45:00 PM,14,2,1,
1880400,101552725,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:10:00 PM,14,2,1,
1880401,101552870,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:04:00 PM,14,2,1,
1880402,101552906,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:16:00 PM,14,2,1,
1880403,101553007,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:15:00 PM,14,2,1,
1880404,101553131,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:48:00 PM,14,2,1,
1880405,101553162,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 6:48:00 PM,14,2,1,
